frame_num,is_drowsy,left_eye_closed,right_eye_closed,continuous_time,error_code
1,0,False,False,0.0,
2,0,False,False,0.0,
3,0,False,False,0.0,
4,0,False,False,0.0,
5,0,False,False,0.0,
6,0,False,False,0.0,
7,0,False,False,0.0,
8,0,False,False,0.0,
9,0,False,True,0.0,
10,0,False,True,0.0,
11,0,False,False,0.0,
12,0,False,False,0.0,
13,0,False,False,0.0,
14,0,False,False,0.0,
15,0,False,False,0.0,
16,0,False,False,0.0,
17,0,False,False,0.0,
18,0,False,False,0.0,
19,0,False,False,0.0,
20,0,False,False,0.0,
21,0,False,False,0.0,
22,0,False,False,0.0,
23,0,False,False,0.0,
24,0,False,False,0.0,
25,0,False,False,0.0,
26,0,False,False,0.0,
27,0,False,False,0.0,
28,0,False,False,0.0,
29,0,False,False,0.0,
30,0,False,False,0.0,
31,0,False,False,0.0,
32,0,False,False,0.0,
33,0,False,False,0.0,
34,0,False,False,0.0,
35,0,False,False,0.0,
36,0,False,False,0.0,
37,0,False,False,0.0,
38,0,False,False,0.0,
39,0,False,False,0.0,
40,0,False,True,0.0,
41,0,False,True,0.0,
42,0,False,False,0.0,
43,0,False,False,0.0,
44,0,False,False,0.0,
45,0,False,False,0.0,
46,0,False,False,0.0,
47,0,False,False,0.0,
48,0,False,False,0.0,
49,0,False,False,0.0,
50,0,False,False,0.0,
51,0,False,False,0.0,
52,0,False,False,0.0,
53,0,False,False,0.0,
54,0,False,False,0.0,
55,0,False,False,0.0,
56,0,False,False,0.0,
57,0,False,False,0.0,
58,0,False,False,0.0,
59,0,False,False,0.0,
60,0,False,False,0.0,
61,0,False,False,0.0,
62,0,False,False,0.0,
63,0,False,False,0.0,
64,0,False,False,0.0,
65,0,False,False,0.0,
66,0,False,False,0.0,
67,0,False,False,0.0,
68,0,False,False,0.0,
69,0,False,False,0.0,
70,0,False,False,0.0,
71,0,False,False,0.0,
72,0,False,False,0.0,
73,0,False,False,0.0,
74,0,False,False,0.0,
75,0,False,False,0.0,
76,0,False,False,0.0,
77,0,False,False,0.0,
78,0,False,False,0.0,
79,0,False,False,0.0,
80,0,False,False,0.0,
81,0,False,False,0.0,
82,0,False,False,0.0,
83,0,False,False,0.0,
84,0,False,False,0.0,
85,0,False,False,0.0,
86,0,False,False,0.0,
87,0,False,False,0.0,
88,0,False,False,0.0,
89,0,False,False,0.0,
90,0,False,False,0.0,
91,0,False,False,0.0,
92,0,False,False,0.0,
93,0,False,False,0.0,
94,0,False,False,0.0,
95,0,False,False,0.0,
96,0,False,False,0.0,
97,0,False,False,0.0,
98,0,False,False,0.0,
99,0,False,False,0.0,
100,0,False,False,0.0,
101,0,False,False,0.0,
102,0,False,False,0.0,
103,0,False,False,0.0,
104,0,False,False,0.0,
105,0,False,False,0.0,
106,0,False,False,0.0,
107,0,False,False,0.0,
108,0,False,False,0.0,
109,0,False,False,0.0,
110,0,False,False,0.0,
111,0,False,False,0.0,
112,0,False,False,0.0,
113,0,False,False,0.0,
114,0,False,False,0.0,
115,0,False,False,0.0,
116,0,False,False,0.0,
117,0,False,False,0.0,
118,0,False,False,0.0,
119,0,False,False,0.0,
120,0,False,False,0.0,
121,0,False,False,0.0,
122,0,False,False,0.0,
123,0,False,False,0.0,
124,0,False,False,0.0,
125,0,False,False,0.0,
126,0,False,False,0.0,
127,0,False,False,0.0,
128,0,False,False,0.0,
129,0,False,False,0.0,
130,0,False,False,0.0,
131,0,False,False,0.0,
132,0,False,False,0.0,
133,0,False,False,0.0,
134,0,False,False,0.0,
135,0,False,False,0.0,
136,0,False,False,0.0,
137,0,False,False,0.0,
138,0,False,False,0.0,
139,0,False,False,0.0,
140,0,False,False,0.0,
141,0,False,False,0.0,
142,0,False,False,0.0,
143,0,False,False,0.0,
144,0,False,False,0.0,
145,0,False,False,0.0,
146,0,False,False,0.0,
147,0,False,False,0.0,
148,0,False,False,0.0,
149,0,False,False,0.0,
150,0,False,False,0.0,
151,0,False,False,0.0,
152,0,False,False,0.0,
153,0,False,False,0.0,
154,0,False,False,0.0,
155,0,False,False,0.0,
156,0,False,False,0.0,
157,0,False,False,0.0,
158,0,False,False,0.0,
159,0,False,False,0.0,
160,0,False,False,0.0,
161,0,False,False,0.0,
162,0,False,False,0.0,
163,0,False,False,0.0,
164,0,False,False,0.0,
165,0,False,False,0.0,
166,0,False,False,0.0,
167,0,False,False,0.0,
168,0,False,False,0.0,
169,0,False,False,0.0,
170,0,False,False,0.0,
171,0,False,False,0.0,
172,0,False,False,0.0,
173,0,False,False,0.0,
174,0,False,False,0.0,
175,0,False,False,0.0,
176,0,False,False,0.0,
177,0,False,False,0.0,
178,0,False,False,0.0,
179,0,False,False,0.0,
180,0,False,False,0.0,
181,0,False,False,0.0,
182,0,False,False,0.0,
183,0,False,False,0.0,
184,0,False,False,0.0,
185,0,False,False,0.0,
186,0,False,False,0.0,
187,0,False,False,0.0,
188,0,False,False,0.0,
189,0,False,False,0.0,
190,0,False,False,0.0,
191,0,False,False,0.0,
192,0,False,False,0.0,
193,0,False,False,0.0,
194,0,False,False,0.0,
195,0,False,False,0.0,
196,0,False,False,0.0,
197,0,False,False,0.0,
198,0,False,False,0.0,
199,0,False,False,0.0,
200,0,False,False,0.0,
201,0,False,False,0.0,
202,0,False,False,0.0,
203,0,False,False,0.0,
204,0,False,False,0.0,
205,0,False,False,0.0,
206,0,False,False,0.0,
207,0,False,False,0.0,
208,0,False,False,0.0,
209,0,False,False,0.0,
210,0,False,False,0.0,
211,0,False,False,0.0,
212,0,False,False,0.0,
213,0,False,False,0.0,
214,0,False,False,0.0,
215,0,False,False,0.0,
216,0,False,False,0.0,
217,0,False,False,0.0,
218,0,False,False,0.0,
219,0,False,False,0.0,
220,0,False,False,0.0,
221,0,False,False,0.0,
222,0,False,False,0.0,
223,0,False,False,0.0,
224,0,False,False,0.0,
225,0,False,False,0.0,
226,0,False,False,0.0,
227,0,False,False,0.0,
228,0,False,False,0.0,
229,0,False,False,0.0,
230,0,False,False,0.0,
231,0,False,False,0.0,
232,0,False,False,0.0,
233,0,False,False,0.0,
234,0,False,False,0.0,
235,0,False,False,0.0,
236,0,False,False,0.0,
237,0,False,False,0.0,
238,0,False,False,0.0,
239,0,False,False,0.0,
240,0,False,False,0.0,
241,0,False,False,0.0,
242,0,False,False,0.0,
243,0,False,False,0.0,
244,0,False,False,0.0,
245,0,False,False,0.0,
246,0,False,False,0.0,
247,0,False,False,0.0,
248,0,False,False,0.0,
249,0,False,False,0.0,
250,0,False,False,0.0,
251,0,False,False,0.0,
252,0,False,False,0.0,
253,0,False,False,0.0,
254,0,False,False,0.0,
255,0,False,False,0.0,
256,0,False,False,0.0,
257,0,False,False,0.0,
258,0,False,False,0.0,
259,0,False,False,0.0,
260,0,False,False,0.0,
261,0,False,False,0.0,
262,0,False,False,0.0,
263,0,False,False,0.0,
264,0,False,False,0.0,
265,0,False,False,0.0,
266,0,False,False,0.0,
267,0,False,False,0.0,
268,0,False,False,0.0,
269,0,False,False,0.0,
270,0,False,False,0.0,
271,0,False,False,0.0,
272,0,False,False,0.0,
273,0,False,False,0.0,
274,0,False,False,0.0,
275,0,False,False,0.0,
276,0,False,False,0.0,
277,0,False,False,0.0,
278,0,False,False,0.0,
279,0,False,False,0.0,
280,0,False,False,0.0,
281,0,False,False,0.0,
282,0,False,False,0.0,
283,0,False,False,0.0,
284,0,False,False,0.0,
285,0,False,False,0.0,
286,0,False,False,0.0,
287,0,False,False,0.0,
288,0,False,True,0.0,
289,0,False,False,0.0,
290,0,False,False,0.0,
291,0,False,False,0.0,
292,0,False,False,0.0,
293,0,False,False,0.0,
294,0,False,False,0.0,
295,0,False,False,0.0,
296,0,False,False,0.0,
297,0,False,False,0.0,
298,0,False,False,0.0,
299,0,False,False,0.0,
300,0,False,False,0.0,
301,0,False,False,0.0,
302,0,False,False,0.0,
303,0,False,False,0.0,
304,0,False,False,0.0,
305,0,False,False,0.0,
306,0,False,False,0.0,
307,0,False,False,0.0,
308,0,False,False,0.0,
309,0,False,False,0.0,
310,0,False,False,0.0,
311,0,False,False,0.0,
312,0,False,False,0.0,
313,0,False,False,0.0,
314,0,False,False,0.0,
315,0,False,False,0.0,
316,0,False,False,0.0,
317,0,False,False,0.0,
318,0,False,False,0.0,
319,0,False,False,0.0,
320,0,False,False,0.0,
321,0,False,False,0.0,
322,0,False,False,0.0,
323,0,False,False,0.0,
324,0,False,False,0.0,
325,0,False,False,0.0,
326,0,False,False,0.0,
327,0,False,False,0.0,
328,0,False,False,0.0,
329,0,False,False,0.0,
330,0,False,False,0.0,
331,0,False,False,0.0,
332,0,False,False,0.0,
333,0,False,False,0.0,
334,0,False,False,0.0,
335,0,False,False,0.0,
336,0,False,False,0.0,
337,0,False,False,0.0,
338,0,False,False,0.0,
339,0,False,False,0.0,
340,0,False,False,0.0,
341,0,False,False,0.0,
342,0,False,False,0.0,
343,0,False,False,0.0,
344,0,False,False,0.0,
345,0,False,False,0.0,
346,0,False,False,0.0,
347,0,False,False,0.0,
348,0,False,False,0.0,
349,0,False,False,0.0,
350,0,False,False,0.0,
351,0,False,False,0.0,
352,0,False,False,0.0,
353,0,False,False,0.0,
354,0,False,False,0.0,
355,0,False,True,0.0,
356,0,False,True,0.0,
357,0,False,True,0.0,
358,0,False,True,0.0,
359,0,False,True,0.0,
360,0,False,True,0.0,
361,0,False,True,0.0,
362,0,False,True,0.0,
363,0,False,True,0.0,
364,0,False,True,0.0,
365,0,False,True,0.0,
366,0,False,True,0.0,
367,0,False,True,0.0,
368,0,False,True,0.0,
369,0,False,False,0.0,
370,0,False,False,0.0,
371,0,False,False,0.0,
372,0,False,True,0.0,
373,0,False,True,0.0,
374,0,False,True,0.0,
375,0,False,True,0.0,
376,0,False,False,0.0,
377,0,False,False,0.0,
378,0,False,False,0.0,
379,0,False,False,0.0,
380,0,False,False,0.0,
381,0,False,True,0.0,
382,0,False,True,0.0,
383,0,False,True,0.0,
384,0,False,True,0.0,
385,0,False,True,0.0,
386,0,False,True,0.0,
387,0,False,True,0.0,
388,0,False,True,0.0,
389,0,False,True,0.0,
390,0,False,True,0.0,
391,0,False,True,0.0,
392,0,False,True,0.0,
393,0,False,True,0.0,
394,0,False,True,0.0,
395,0,False,False,0.0,
396,0,False,False,0.0,
397,0,False,False,0.0,
398,0,False,False,0.0,
399,0,False,False,0.0,
400,0,False,False,0.0,
401,0,False,False,0.0,
402,0,False,False,0.0,
403,0,False,False,0.0,
404,0,False,True,0.0,
405,0,False,False,0.0,
406,0,False,True,0.0,
407,0,False,True,0.0,
408,0,False,False,0.0,
409,0,False,True,0.0,
410,0,False,False,0.0,
411,0,False,False,0.0,
412,0,False,False,0.0,
413,0,False,False,0.0,
414,0,False,False,0.0,
415,0,False,False,0.0,
416,0,False,False,0.0,
417,0,False,False,0.0,
418,0,False,False,0.0,
419,0,False,False,0.0,
420,0,False,True,0.0,
421,0,False,True,0.0,
422,0,False,True,0.0,
423,0,False,False,0.0,
424,0,False,False,0.0,
425,0,False,False,0.0,
426,0,False,False,0.0,
427,0,False,False,0.0,
428,0,False,False,0.0,
429,0,False,True,0.0,
430,0,False,True,0.0,
431,0,False,True,0.0,
432,0,False,False,0.0,
433,0,False,False,0.0,
434,0,False,False,0.0,
435,0,False,False,0.0,
436,0,False,False,0.0,
437,0,False,False,0.0,
438,0,False,False,0.0,
439,0,False,False,0.0,
440,0,False,False,0.0,
441,0,False,False,0.0,
442,0,False,False,0.0,
443,0,False,False,0.0,
444,0,False,False,0.0,
445,0,False,False,0.0,
446,0,False,False,0.0,
447,0,False,False,0.0,
448,0,False,False,0.0,
